titulo,catalogo,sjr,q,h_index,total_citas,url_revista,pais,area,publisher,issn,widget
Atmospheric Chemistry and Physics,journal,2.138,Q1,253,14519,https://www.scimagojr.com/journalsearch.php?q=12091&tip=sid&clean=0,Germany,{'Earth and Planetary Sciences': ['Atmospheric Science']},Copernicus Publications,"16807316, 16807324","<a href=""https://www.scimagojr.com/journalsearch.php?q=12091&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=12091"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Weather and Climate Extremes,journal,2.049,Q1,57,1908,https://www.scimagojr.com/journalsearch.php?q=21100265617&tip=sid&clean=0,Netherlands,"{'Earth and Planetary Sciences': ['Atmospheric Science'], 'Environmental Science': ['Management, Monitoring, Policy and Law'], 'Social Sciences': ['Geography, Planning and Development']}",Elsevier B.V.,22120947,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100265617&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100265617"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Climate Dynamics,journal,1.958,Q1,191,6350,https://www.scimagojr.com/journalsearch.php?q=12172&tip=sid&clean=0,Germany,{'Earth and Planetary Sciences': ['Atmospheric Science']},Springer Verlag,"09307575, 14320894","<a href=""https://www.scimagojr.com/journalsearch.php?q=12172&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=12172"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Southern Hemisphere Earth Systems Science,journal,1.849,Q1,12,277,https://www.scimagojr.com/journalsearch.php?q=21100843798&tip=sid&clean=0,Australia,"{'Earth and Planetary Sciences': ['Atmospheric Science', 'Oceanography'], 'Environmental Science': ['Global and Planetary Change']}",CSIRO,22065865,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100843798&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100843798"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Advances in Atmospheric Sciences,journal,1.846,Q1,87,2184,https://www.scimagojr.com/journalsearch.php?q=12064&tip=sid&clean=0,China,{'Earth and Planetary Sciences': ['Atmospheric Science']},Science China Press,"02561530, 18619533","<a href=""https://www.scimagojr.com/journalsearch.php?q=12064&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=12064"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journals of the Atmospheric Sciences,journal,1.830,Q1,190,1897,https://www.scimagojr.com/journalsearch.php?q=13552&tip=sid&clean=0,United States,{'Earth and Planetary Sciences': ['Atmospheric Science']},American Meteorological Society,"00224928, 15200469","<a href=""https://www.scimagojr.com/journalsearch.php?q=13552&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=13552"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Geophysical Research: Atmospheres,journal,1.710,Q1,126,9812,https://www.scimagojr.com/journalsearch.php?q=21101038508&tip=sid&clean=0,United States,"{'Earth and Planetary Sciences': ['Atmospheric Science', 'Earth and Planetary Sciences (miscellaneous)', 'Geophysics', 'Space and Planetary Science']}",Wiley-Blackwell Publishing Ltd,"2169897X, 21698996","<a href=""https://www.scimagojr.com/journalsearch.php?q=21101038508&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21101038508"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Agricultural and Forest Meteorology,journal,1.677,Q1,196,7255,https://www.scimagojr.com/journalsearch.php?q=12067&tip=sid&clean=0,Netherlands,"{'Agricultural and Biological Sciences': ['Agronomy and Crop Science', 'Forestry'], 'Earth and Planetary Sciences': ['Atmospheric Science'], 'Environmental Science': ['Global and Planetary Change']}",Elsevier B.V.,01681923,"<a href=""https://www.scimagojr.com/journalsearch.php?q=12067&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=12067"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Monthly Weather Review,journal,1.633,Q1,206,1937,https://www.scimagojr.com/journalsearch.php?q=13482&tip=sid&clean=0,United States,{'Earth and Planetary Sciences': ['Atmospheric Science']},American Meteorological Society,"00270644, 15200493","<a href=""https://www.scimagojr.com/journalsearch.php?q=13482&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=13482"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of the Meteorological Society of Japan,journal,1.595,Q1,93,540,https://www.scimagojr.com/journalsearch.php?q=13444&tip=sid&clean=0,Japan,{'Earth and Planetary Sciences': ['Atmospheric Science']},Meteorological Society of Japan,"00261165, 21869057","<a href=""https://www.scimagojr.com/journalsearch.php?q=13444&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=13444"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Paleoceanography and Paleoclimatology,journal,1.587,Q1,142,1246,https://www.scimagojr.com/journalsearch.php?q=21100852202&tip=sid&clean=0,United States,"{'Earth and Planetary Sciences': ['Atmospheric Science', 'Oceanography', 'Paleontology']}",John Wiley and Sons Inc.,"25724517, 25724525","<a href=""https://www.scimagojr.com/journalsearch.php?q=21100852202&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100852202"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Advances in Climate Change Research,journal,1.551,Q1,46,1392,https://www.scimagojr.com/journalsearch.php?q=21100310030&tip=sid&clean=0,China,"{'Earth and Planetary Sciences': ['Atmospheric Science'], 'Environmental Science': ['Global and Planetary Change', 'Management, Monitoring, Policy and Law']}",KeAi Communications Co.,"16749278, 25241761","<a href=""https://www.scimagojr.com/journalsearch.php?q=21100310030&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100310030"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Boundary-Layer Meteorology,journal,1.490,Q1,129,931,https://www.scimagojr.com/journalsearch.php?q=12132&tip=sid&clean=0,Netherlands,{'Earth and Planetary Sciences': ['Atmospheric Science']},Springer Netherlands,"00068314, 15731472","<a href=""https://www.scimagojr.com/journalsearch.php?q=12132&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=12132"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Weather and Forecasting,journal,1.478,Q1,123,1277,https://www.scimagojr.com/journalsearch.php?q=14764&tip=sid&clean=0,United States,{'Earth and Planetary Sciences': ['Atmospheric Science']},American Meteorological Society,"08828156, 15200434","<a href=""https://www.scimagojr.com/journalsearch.php?q=14764&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=14764"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Geophysical Research: Biogeosciences,journal,1.459,Q1,81,3122,https://www.scimagojr.com/journalsearch.php?q=21101038507&tip=sid&clean=0,United States,"{'Agricultural and Biological Sciences': ['Aquatic Science', 'Forestry', 'Soil Science'], 'Earth and Planetary Sciences': ['Atmospheric Science', 'Paleontology'], 'Environmental Science': ['Ecology', 'Water Science and Technology']}",John Wiley and Sons Inc.,"21698953, 21698961","<a href=""https://www.scimagojr.com/journalsearch.php?q=21101038507&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21101038507"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,journal,1.434,Q1,126,12362,https://www.scimagojr.com/journalsearch.php?q=17700155033&tip=sid&clean=0,United States,"{'Earth and Planetary Sciences': ['Atmospheric Science', 'Computers in Earth Sciences']}",Institute of Electrical and Electronics Engineers Inc.,"19391404, 21511535","<a href=""https://www.scimagojr.com/journalsearch.php?q=17700155033&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=17700155033"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Hydrometeorology,journal,1.432,Q1,148,1783,https://www.scimagojr.com/journalsearch.php?q=29539&tip=sid&clean=0,United States,{'Earth and Planetary Sciences': ['Atmospheric Science']},American Meteorological Society,"15257541, 1525755X","<a href=""https://www.scimagojr.com/journalsearch.php?q=29539&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=29539"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Atmospheric Research,journal,1.427,Q1,137,7379,https://www.scimagojr.com/journalsearch.php?q=12092&tip=sid&clean=0,Netherlands,{'Earth and Planetary Sciences': ['Atmospheric Science']},Elsevier B.V.,01698095,"<a href=""https://www.scimagojr.com/journalsearch.php?q=12092&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=12092"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Climatic Change,journal,1.393,Q1,217,4494,https://www.scimagojr.com/journalsearch.php?q=12177&tip=sid&clean=0,Netherlands,"{'Earth and Planetary Sciences': ['Atmospheric Science'], 'Environmental Science': ['Global and Planetary Change']}",Springer Netherlands,"01650009, 15731480","<a href=""https://www.scimagojr.com/journalsearch.php?q=12177&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=12177"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Elementa,journal,1.337,Q1,55,1354,https://www.scimagojr.com/journalsearch.php?q=21100777486&tip=sid&clean=0,United States,"{'Earth and Planetary Sciences': ['Atmospheric Science', 'Geology', 'Geotechnical Engineering and Engineering Geology', 'Oceanography'], 'Environmental Science': ['Ecology', 'Environmental Engineering']}",University of California Press,23251026,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100777486&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100777486"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Scientific Online Letters on the Atmosphere,journal,1.331,Q1,39,254,https://www.scimagojr.com/journalsearch.php?q=5600152714&tip=sid&clean=0,Japan,{'Earth and Planetary Sciences': ['Atmospheric Science']},Meteorological Society of Japan,13496476,"<a href=""https://www.scimagojr.com/journalsearch.php?q=5600152714&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=5600152714"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Urban Climate,journal,1.318,Q1,75,5178,https://www.scimagojr.com/journalsearch.php?q=21100220478&tip=sid&clean=0,Netherlands,"{'Earth and Planetary Sciences': ['Atmospheric Science'], 'Environmental Science': ['Environmental Science (miscellaneous)'], 'Social Sciences': ['Geography, Planning and Development', 'Urban Studies']}",Elsevier B.V.,22120955,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100220478&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100220478"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Atmospheric Measurement Techniques,journal,1.297,Q1,114,4257,https://www.scimagojr.com/journalsearch.php?q=21100197156&tip=sid&clean=0,Germany,{'Earth and Planetary Sciences': ['Atmospheric Science']},Copernicus Gesellschaft mbH,"18671381, 18678548","<a href=""https://www.scimagojr.com/journalsearch.php?q=21100197156&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100197156"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Geography Compass,journal,1.292,Q1,85,647,https://www.scimagojr.com/journalsearch.php?q=13300154704&tip=sid&clean=0,United Kingdom,"{'Earth and Planetary Sciences': ['Atmospheric Science', 'Computers in Earth Sciences', 'Earth-Surface Processes'], 'Environmental Science': ['Water Science and Technology'], 'Social Sciences': ['Social Sciences (miscellaneous)']}",Wiley-Blackwell Publishing Ltd,17498198,"<a href=""https://www.scimagojr.com/journalsearch.php?q=13300154704&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=13300154704"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Climate Risk Management,journal,1.266,Q1,50,1363,https://www.scimagojr.com/journalsearch.php?q=21100312211&tip=sid&clean=0,Netherlands,"{'Earth and Planetary Sciences': ['Atmospheric Science'], 'Environmental Science': ['Global and Planetary Change', 'Management, Monitoring, Policy and Law'], 'Social Sciences': ['Geography, Planning and Development']}",Elsevier B.V.,22120963,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100312211&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100312211"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
International Journal of Climatology,journal,1.221,Q2,192,6554,https://www.scimagojr.com/journalsearch.php?q=13507&tip=sid&clean=0,United Kingdom,{'Earth and Planetary Sciences': ['Atmospheric Science']},John Wiley and Sons Ltd,"08998418, 10970088","<a href=""https://www.scimagojr.com/journalsearch.php?q=13507&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=13507"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Atmospheric Environment,journal,1.169,Q2,279,8400,https://www.scimagojr.com/journalsearch.php?q=23357&tip=sid&clean=0,United Kingdom,"{'Earth and Planetary Sciences': ['Atmospheric Science'], 'Environmental Science': ['Environmental Science (miscellaneous)']}",Elsevier Ltd,"13522310, 18732844","<a href=""https://www.scimagojr.com/journalsearch.php?q=23357&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=23357"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Space Weather,journal,1.164,Q2,72,1667,https://www.scimagojr.com/journalsearch.php?q=4000151603&tip=sid&clean=0,United States,{'Earth and Planetary Sciences': ['Atmospheric Science']},Wiley-Blackwell,15427390,"<a href=""https://www.scimagojr.com/journalsearch.php?q=4000151603&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=4000151603"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
"Advances in Statistical Climatology, Meteorology and Oceanography",journal,1.129,Q2,7,82,https://www.scimagojr.com/journalsearch.php?q=21100927405&tip=sid&clean=0,Germany,"{'Earth and Planetary Sciences': ['Atmospheric Science', 'Oceanography'], 'Mathematics': ['Applied Mathematics', 'Statistics and Probability']}",Copernicus GmbH,"23643579, 23643587","<a href=""https://www.scimagojr.com/journalsearch.php?q=21100927405&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100927405"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Atmospheric Science Letters,journal,1.090,Q2,55,371,https://www.scimagojr.com/journalsearch.php?q=12093&tip=sid&clean=0,United States,{'Earth and Planetary Sciences': ['Atmospheric Science']},John Wiley & Sons Inc.,1530261X,"<a href=""https://www.scimagojr.com/journalsearch.php?q=12093&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=12093"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Atmospheric Environment: X,journal,1.084,Q2,23,626,https://www.scimagojr.com/journalsearch.php?q=21100894508&tip=sid&clean=0,United Kingdom,"{'Earth and Planetary Sciences': ['Atmospheric Science'], 'Environmental Science': ['Environmental Science (miscellaneous)']}",Elsevier Ltd,25901621,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100894508&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100894508"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Applied Meteorology and Climatology,journal,1.068,Q2,156,949,https://www.scimagojr.com/journalsearch.php?q=4400151717&tip=sid&clean=0,United States,{'Earth and Planetary Sciences': ['Atmospheric Science']},American Meteorological Society,15588424,"<a href=""https://www.scimagojr.com/journalsearch.php?q=4400151717&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=4400151717"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Space Weather and Space Climate,journal,1.056,Q2,43,614,https://www.scimagojr.com/journalsearch.php?q=21100286958&tip=sid&clean=0,France,"{'Earth and Planetary Sciences': ['Atmospheric Science', 'Space and Planetary Science']}",EDP Sciences,21157251,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100286958&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100286958"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Meteorological Research,journal,1.055,Q2,45,790,https://www.scimagojr.com/journalsearch.php?q=12063&tip=sid&clean=0,China,"{'Earth and Planetary Sciences': ['Atmospheric Science'], 'Engineering': ['Ocean Engineering']}",Chinese Meteorological Society,"20956037, 21980934","<a href=""https://www.scimagojr.com/journalsearch.php?q=12063&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=12063"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Ocean Modelling,journal,1.038,Q2,100,765,https://www.scimagojr.com/journalsearch.php?q=28352&tip=sid&clean=0,Netherlands,"{'Computer Science': ['Computer Science (miscellaneous)'], 'Earth and Planetary Sciences': ['Atmospheric Science', 'Geotechnical Engineering and Engineering Geology', 'Oceanography']}",Elsevier B.V.,"14635003, 14635011","<a href=""https://www.scimagojr.com/journalsearch.php?q=28352&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=28352"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Climate Services,journal,1.009,Q2,37,597,https://www.scimagojr.com/journalsearch.php?q=21100463842&tip=sid&clean=0,Netherlands,"{'Earth and Planetary Sciences': ['Atmospheric Science'], 'Environmental Science': ['Global and Planetary Change']}",Elsevier B.V.,24058807,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100463842&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100463842"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Frontiers in Climate,journal,1.003,Q2,25,1522,https://www.scimagojr.com/journalsearch.php?q=21101072516&tip=sid&clean=0,Switzerland,"{'Earth and Planetary Sciences': ['Atmospheric Science'], 'Environmental Science': ['Environmental Science (miscellaneous)', 'Global and Planetary Change', 'Management, Monitoring, Policy and Law', 'Pollution']}",Frontiers Media SA,26249553,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21101072516&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21101072516"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Atmospheric Pollution Research,journal,0.950,Q2,71,3859,https://www.scimagojr.com/journalsearch.php?q=21100254615&tip=sid&clean=0,Netherlands,"{'Earth and Planetary Sciences': ['Atmospheric Science'], 'Environmental Science': ['Pollution', 'Waste Management and Disposal']}",Elsevier B.V.,13091042,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100254615&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100254615"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Aerosol Science,journal,0.870,Q2,124,1489,https://www.scimagojr.com/journalsearch.php?q=15759&tip=sid&clean=0,United Kingdom,"{'Chemical Engineering': ['Fluid Flow and Transfer Processes'], 'Earth and Planetary Sciences': ['Atmospheric Science'], 'Engineering': ['Mechanical Engineering'], 'Environmental Science': ['Environmental Chemistry', 'Environmental Engineering', 'Pollution'], 'Materials Science': ['Materials Science (miscellaneous)']}",Elsevier Ltd,"00218502, 18791964","<a href=""https://www.scimagojr.com/journalsearch.php?q=15759&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=15759"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Atmospheric and Oceanic Technology,journal,0.849,Q2,144,881,https://www.scimagojr.com/journalsearch.php?q=13549&tip=sid&clean=0,United States,"{'Earth and Planetary Sciences': ['Atmospheric Science'], 'Engineering': ['Ocean Engineering']}",American Meteorological Society,"07390572, 15200426","<a href=""https://www.scimagojr.com/journalsearch.php?q=13549&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=13549"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
